study,group,question,answer,submit_time,source,source_politics,source_alignment,headline,headline_type,headline_politics,headline_alignment,subject_id,subject_politics,demo_party,demo_ideology,demo_ideology_forced,demo_gender,demo_education,demo_birthyear,demo_age,relevant_for_analysis,source_familiarity,source_trust,source_trust_num
Study 1,control,3,FALSE,7.389,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_6,conservative,Independent,somewhat conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1974,45,TRUE,yes,Barely,0.25
Study 1,control,3,FALSE,7.688,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_11,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1971,48,TRUE,yes,Barely,0.25
Study 1,control,3,TRUE,7.596,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_14,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1959,60,TRUE,yes,A lot,0.75
Study 1,bonus,3,TRUE,7.2,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_15,conservative,Republican,conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1976,43,TRUE,yes,A lot,0.75
Study 1,bonus,3,TRUE,9.83,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_16,liberal,Democrat,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1992,27,TRUE,yes,Somewhat,0.5
Study 1,control,3,TRUE,7.183,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_17,conservative,Independent,somewhat conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1986,33,TRUE,yes,Somewhat,0.5
Study 1,control,3,TRUE,6.608,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_18,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1984,35,TRUE,yes,Entirely,1
Study 1,control,3,TRUE,6.999,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_21,conservative,Other,somewhat conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1985,34,TRUE,yes,Somewhat,0.5
Study 1,control,3,FALSE,9.324,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_23,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1986,33,TRUE,yes,Somewhat,0.5
Study 1,control,3,TRUE,7.171,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_24,liberal,Independent,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1993,26,TRUE,yes,Not at all,0
Study 1,control,3,FALSE,9.118,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_33,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1985,34,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,FALSE,7.297,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_36,liberal,Independent,somewhat liberal,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1992,27,TRUE,yes,Barely,0.25
Study 1,control,3,FALSE,6.531,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_46,liberal,Democrat,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Somewhat,0.5
Study 1,control,3,FALSE,7.202,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_49,conservative,Independent,no opinion,Right or center-right,Female,High school degree or equivalent (e.g. GED),1991,28,TRUE,yes,Not at all,0
Study 1,control,3,TRUE,7.157,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_53,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1994,25,TRUE,yes,Not at all,0
Study 1,bonus,3,FALSE,8.898,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_56,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1985,34,TRUE,yes,A lot,0.75
Study 1,control,3,TRUE,6.118,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_59,conservative,Independent,somewhat conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1992,27,TRUE,yes,Barely,0.25
Study 1,bonus,3,TRUE,13.532,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_67,conservative,Independent,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1979,40,TRUE,yes,A lot,0.75
Study 1,control,3,FALSE,8.901,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_69,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1989,30,TRUE,yes,A lot,0.75
Study 1,control,3,FALSE,7.015,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_72,liberal,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1988,31,TRUE,yes,A lot,0.75
Study 1,bonus,3,FALSE,8.043,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_75,liberal,Democrat,liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1966,53,TRUE,yes,Barely,0.25
Study 1,bonus,3,TRUE,9.456,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_76,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1982,37,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,FALSE,7.058,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_83,conservative,Independent,conservative,Right or center-right,Male,"Master’s degree (e.g. MA, MS)",1978,41,TRUE,yes,Entirely,1
Study 1,bonus,3,FALSE,9.689,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_86,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1992,27,TRUE,yes,A lot,0.75
Study 1,control,3,FALSE,9.747,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_87,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1984,35,TRUE,yes,Barely,0.25
Study 1,bonus,3,TRUE,9.981,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_92,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1974,45,TRUE,yes,A lot,0.75
Study 1,bonus,3,FALSE,15.081,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_95,conservative,Democrat,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,A lot,0.75
Study 1,bonus,3,FALSE,11.392,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_97,liberal,Democrat,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1986,33,TRUE,yes,Barely,0.25
Study 1,control,3,TRUE,11.707,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_99,conservative,Republican,conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1968,51,TRUE,yes,Somewhat,0.5
Study 1,control,3,TRUE,9.031,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_101,conservative,Independent,somewhat conservative,Right or center-right,Female,"Master’s degree (e.g. MA, MS)",1949,70,TRUE,yes,Somewhat,0.5
Study 1,control,3,FALSE,7.521,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_102,conservative,Independent,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1969,50,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,FALSE,11.208,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_103,conservative,Republican,conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1971,48,TRUE,yes,Barely,0.25
Study 1,control,3,FALSE,12.001,fox,conservative,TRUE,Dem_1,Dem,liberal,FALSE,study_1_106,conservative,Independent,somewhat conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1969,50,TRUE,yes,Somewhat,0.5
Study 1,control,3,FALSE,6.497,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_114,liberal,Independent,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1993,26,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,TRUE,6.265,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_126,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1986,33,TRUE,yes,Barely,0.25
Study 1,bonus,3,TRUE,11.242,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_127,liberal,Independent,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1957,62,TRUE,yes,Barely,0.25
Study 1,control,3,FALSE,8.232,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_136,liberal,Independent,somewhat conservative,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1982,37,TRUE,yes,A lot,0.75
Study 1,control,3,FALSE,7.43,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_139,liberal,Republican,conservative,Left or center-left,Male,"Master’s degree (e.g. MA, MS)",1988,31,TRUE,yes,Entirely,1
