"","consent","demo_party","demo_party_forced","demo_ideology","demo_pol_forced","demo_gender","subject_rid","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","question","ideology","headline","headline_text","ideology_num","headline_politics","answer_num","batch","group"
"1.1...1","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","somewhat conservative","Right or center-right","Female","6059554270","21","2","1","2","1","2","7","3","77064",1,"supports left or liberal views","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",-1,"Rep",-1,"1","mixed"
"2.1...2","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","9585922169","19","1","1","1","1","2","10","1","11741",1,"supports right or conservative views","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",1,"Dem",1,"1","mixed"
"3.1...3","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","8939399137","56","2","1","1","1","3","7","1","08865",1,"is politically neutral","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",0,"Dem",0,"1","mixed"
"4.1...4","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Left or center-left","Female","7592548150","74","2","7","1","1","4","1","3","75452",1,"supports right or conservative views","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",1,"Rep",1,"1","mixed"
"5.1...5","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Left or center-left","Male","1236577854","35","1","22","1","2","8","1","1","10001",1,"is more left or liberal","Dem_x3","Trump lashes out at Vanity Fair, one day after it lambastes his restaurant",-1,"Dem",-1,"1","mixed"
"6.1...6","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Left or center-left","Male","7449148935","50","1","5","1","1","7","4","1","10456",1,"is politically neutral","Dem_4","Since Parkland There's Been a School Shooting, on Average, Every 12 Days",0,"Dem",0,"1","mixed"
"7.1...7","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Republican","conservative","Left or center-left","Male","6137465490","39","1","24","1","1","8","10","3","79705",1,"is more left or liberal","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",-1,"Dem",-1,"1","mixed"
"8.1...8","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Other","6327995909","72","2","14","1","1","5","5","1","19312",1,"is politically neutral","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",0,"Rep",0,"1","mixed"
"9.1...9","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","5933535900","59","1","-3105","1","1","4","3","3","40004",1,"supports right or conservative views","Rep_10","Islamic State is 100 Percent Defeated",1,"Rep",1,"1","mixed"
"10.1...10","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Female","1979948092","50","2","3","1","1","5","9","3","38138",1,"supports left or liberal views","Rep_3","Ocasio-Cortez Retracts Erroneous Information About Green New Deal Backed by 2020 Democratic Candidates",-1,"Rep",-1,"1","mixed"
"11.1...11","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Republican","no opinion","Left or center-left","Female","2477807817","34","2","1","1","1","-3105","7","2","60610",1,"is politically neutral","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",0,"Dem",0,"1","mixed"
"12.1...12","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","no opinion","Left or center-left","Female","8941062931","39","2","1","2","1","2","4","3","37207",1,"is politically neutral","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",0,"Dem",0,"1","mixed"
"13.1...13","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","3351637568","67","1","15","1","1","7","10","2","53511",1,"is more left or liberal","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",-1,"Rep",-1,"1","mixed"
"14.1...14","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","liberal","Left or center-left","Male","8150657681","25","2","19","1","2","6","10","3","32311",1,"is politically neutral","Rep_10","Islamic State is 100 Percent Defeated",0,"Rep",0,"1","mixed"
"15.1...15","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","3747897665","34","2","19","1","1","7","2","3","20120",1,"is politically neutral","Dem_4","Since Parkland There's Been a School Shooting, on Average, Every 12 Days",0,"Dem",0,"1","mixed"
"16.1...16","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","4029049198","25","1","-3105","16","1","-3105","7","3","22206",1,"is more left or liberal","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",-1,"Rep",-1,"1","mixed"
